country.b,country.a,exp.comp,imp.comp,statea,stateb,year,dispnum3,endyear,hiact,hostlev,outcome,fatality,victor,loser,is.war,pb.exps,pb.imps,delta.exp.comp,delta.imp.comp
Saudi Arabia,Egypt,0.30953084143287957,0.17505559936267417,651,670,1962,1108,1963,17,Use of force,5,NA,0,0,1,0.25788185679327275,0.2084177840313505,-0.05164898463960682,0.033362184668676326
Syria,Turkey,0.041676930030593924,0.3723063307910554,640,652,1962,3165,1962,17,Use of force,5,1,0,0,1,0.06871301287930012,0.11615659737877691,0.0270360828487062,-0.2561497334122785
China,USA,0.06338967130801014,0.01595479178810264,2,710,1962,172,1962,12,Display of force,5,NA,0,0,1,0.07705075157144858,0.007012417395959506,0.013661080263438444,-0.008942374392143137
China,India,0.030878060646307562,0.021244531003708447,750,710,1962,1466,1962,17,Use of force,5,NA,0,0,1,0.04431502750355533,0.05212541008388406,0.013436966857247767,0.030880879080175616
China,Taiwan,0.04128516934074481,0.011980493191090048,713,710,1962,172,1962,16,Use of force,5,NA,0,0,1,0.039587023473961105,0.013235924292742627,-0.0016981458667837054,0.0012554311016525783
China,Lao P.Dem.R,0.004721870522498378,4.357152980548003e-4,812,710,1962,1353,1973,16,Use of force,6,NA,0,0,1,0.006038793753119896,0.047698397898258166,0.0013169232306215178,0.047262682600203366
China,Lao P.Dem.R,0.004721870522498378,4.357152980548003e-4,812,710,1962,1353,1973,16,Use of force,6,NA,0,0,1,0.006038793753119896,0.047698397898258166,0.0013169232306215178,0.047262682600203366
China,Lao P.Dem.R,0.004721870522498378,4.357152980548003e-4,812,710,1962,1353,1973,16,Use of force,6,NA,0,0,1,0.006038793753119896,0.047698397898258166,0.0013169232306215178,0.047262682600203366
Fm USSR,Japan,0.017830765565445116,0.08792512677139909,740,365,1962,2888,1962,0,No militarized action,5,0,0,0,1,0.018113835522376828,0.21485577239748238,2.8306995693171133e-4,0.1269306456260833
Fm USSR,Turkey,0.03807179914656211,0.09607362176339564,640,365,1962,3163,1962,0,No militarized action,5,0,0,0,1,0.03197627940862229,0.05952275222297468,-0.006095519737939821,-0.03655086954042096
Fm USSR,Thailand,-5.173873361659834e-4,0.03765593630314423,800,365,1962,1353,1973,17,Use of force,6,NA,0,0,1,0.001271608081749577,0.09993763450657411,0.0017889954179155605,0.06228169820342988
Fm USSR,Thailand,-5.173873361659834e-4,0.03765593630314423,800,365,1962,1353,1973,17,Use of force,6,NA,0,0,1,0.001271608081749577,0.09993763450657411,0.0017889954179155605,0.06228169820342988
Fm USSR,Thailand,-5.173873361659834e-4,0.03765593630314423,800,365,1962,1353,1973,17,Use of force,6,NA,0,0,1,0.001271608081749577,0.09993763450657411,0.0017889954179155605,0.06228169820342988
Nicaragua,Honduras,0.24028852411377916,0.4798920562160738,91,93,1962,2344,1962,17,Use of force,5,1,0,0,1,0.30875220236673284,0.4563425903782523,0.06846367825295369,-0.02354946583782147
Iraq,Turkey,0.001307457530933733,0.13017584080869848,640,645,1962,1123,1962,16,Use of force,5,1,0,0,1,0.0025806819997062623,0.0678818291567804,0.0012732244687725294,-0.062294011651918085
