exp.mid,exp.pax,imp.mid,imp.pax
0.08101133865721884,0.027061284051832318,0.14425444575881882,0.11285518508729636
0.20409315941863077,0.027635313896905298,0.27965944009547233,0.10719487048867417
0.11372769673398588,0.029787077153404215,0.15846133191571957,0.10709389759435628
0.11776513016923966,0.03061837808950361,0.18060356397631044,0.1095008403124225
0.07434670888851477,0.03033389915234884,0.1895496557956442,0.11162512573723549
0.10316951838712984,0.03023004921705911,0.1504801639572564,0.1099281055627262
0.12502387441282803,0.029881607766758588,0.19445642580057224,0.10858711364757237
0.16277475632729327,0.027803977124145063,0.21241695566953653,0.10768329718818398
0.08980222405086698,0.03173958693609789,0.125636777491725,0.11576539739956376
0.1712920107443035,0.03228957363556574,0.19785455523662712,0.11779329471189168
0.12507290709566973,0.02809316058926722,0.14692878479318494,0.11410184405992564
0.10700277500518279,0.029208885176493848,0.16600206609597604,0.11781609559877852
0.10811043821171334,0.032795172252460376,0.1952823606657898,0.10697021765423385
0.08200936465098292,0.03430932331480766,0.12911419724534925,0.11369750084694635
0.1183750051855516,0.0368859105392391,0.15053914906214078,0.11146526827181037
0.14868776585722285,0.041832477723475585,0.15174133596252032,0.11980751981225861
0.11638889787679238,0.04280078089627328,0.21696999476014592,0.12586219033980905
0.11411410092119541,0.04003937734285264,0.17595924973045893,0.10312902637375074
0.12175973397849064,0.04027836209543754,0.13180425065547716,0.11475421793099773
0.18486851279608157,0.039039821661134816,0.1995917891214042,0.12539666190234722
0.06090197018898658,0.03941454266171962,0.18385104062178412,0.1117527109741371
0.08703625655160609,0.04121869092306347,0.11960063434654125,0.10354351652746079
0.1977775249166572,0.03532924206257728,0.1313990482722852,0.08280329897521309
0.17514611642545122,0.035658256295557425,0.12816129346391228,0.08653922815238421
0.17366198293033522,0.037244894617052215,0.17011077382355022,0.09960499906162307
0.13631333237099388,0.03770880438340877,0.12349892178786064,0.10382024878473695
0.1200256468480584,0.03966172174758797,0.12784342691534392,0.10814501761108705
0.14396123120126478,0.04037678480909003,0.23174591849590684,0.1024527243299227
0.06870298368383482,0.03843829622650203,0.12529945037948825,0.11113109961676154
0.11094485568179993,0.03768041693664355,0.13371722828620405,0.11222516645837084
0.17891720316728998,0.033432271662613665,0.07531542235307101,0.10689273281034053
0.08183095705966106,0.035301051948360626,0.13115563386764148,0.10647145187140727
0.10802702634047932,0.03533134988904604,0.1210636201782918,0.1011135365386439
0.1936563075385086,0.03532828599010533,0.22563782667010052,0.09620213590743834
0.12409261997488655,0.03510828484607616,0.18585020075525888,0.08735989957460864
0.19020557120792472,0.03591889523117107,0.14090538837484387,0.09041999791845282
0.07177436377038124,0.03692662841817557,0.06815884197019931,0.09668793780399991
0.1751172063239281,0.038125276168188,0.12230747250833716,0.08707337471234605
