country.b,country.a,exp.comp,imp.comp,statea,stateb,year,dispnum3,endyear,hiact,hostlev,outcome,fatality,victor,loser,is.war,pb.exps,pb.imps,delta.exp.comp,delta.imp.comp
Ethiopia,Somalia,0.03970906706153085,0.12646674220857793,520,530,1977,2069,1978,20,War,2,6,0,1,1,0.01577561896290528,0.06440071413927392,-0.02393344809862557,-0.062066028069304
Cuba,Somalia,0.0014562956954603655,0.017309674133862467,520,40,1977,2069,1978,20,War,2,6,0,1,1,3.1632503433269544e-5,0.02735081179956896,-0.001424663192027096,0.010041137665706492
Tanzania,Uganda,0.540070478257347,0.19457490443807954,500,510,1978,2141,1979,20,War,2,6,0,1,1,0.2419193225644631,0.06609885432728495,-0.29815115569288386,-0.1284760501107946
Fm USSR,USA,0.1494749826335955,0.012319643743707514,2,365,1978,2223,1979,7,Display of force,4,0,0,1,1,0.05447114064335829,0.006188989353723878,-0.0950038419902372,-0.006130654389983636
Iran,Iraq,0.544202839291617,0.364217804895043,645,630,1979,2115,1988,20,War,3,6,0,1,1,0.4703933615224671,0.5006260522034361,-0.07380947776914987,0.13640824730839313
Malaysia,Philippines,0.24970524187003607,0.5533688412098058,840,820,1980,3117,1980,0,No militarized action,4,0,0,1,1,0.3081425144887684,0.4558002802110333,0.05843727261873233,-0.09756856099877248
Dem.Rp.Congo,Congo,0.06088659070360587,0.41322078374224586,484,490,1980,3121,1980,0,No militarized action,4,0,0,1,1,0.25908138645342843,0.24912322281260596,0.19819479574982257,-0.1640975609296399
Israel,Iraq,-1.765657580497001e-4,0.10642461995982795,645,666,1981,3101,1981,0,No militarized action,1,NA,0,1,1,-2.3537221805680007e-4,0.1540245312503803,-5.880646000709996e-5,0.04759991129055234
UK,Argentina,0.014259797992577325,0.2601097488695351,160,200,1982,3077,1982,0,No militarized action,4,0,0,1,1,0.018975547346447425,0.18145080004431283,0.0047157493538701,-0.07865894882522226
UK,Argentina,0.014259797992577325,0.2601097488695351,160,200,1982,3630,1982,20,War,2,6,0,1,1,0.018975547346447425,0.18145080004431283,0.0047157493538701,-0.07865894882522226
Lebanon,Israel,0.02404144870048978,0.13328419994247723,666,660,1982,3444,1985,20,War,2,6,0,1,1,0.06708456781967415,0.1333349068240758,0.04304311911918436,5.0706881598583387e-5
Syria,Israel,0.0014062635358717134,0.21684232122401975,666,652,1982,3444,1985,20,War,2,6,0,1,1,0.0070465975890309064,0.024057948348755846,0.005640334053159193,-0.1927843728752639
